contrast_key,contrast_label,kinase,n_substrates,mean_lfc,z_perm,null_mean,null_std
aCD3_aCD226_5min,αCD3+αCD226 5min,IKBKB,14,2.0059285714285715,1.3018551974147128,0.8946714285714286,0.8535950427235927
aCD3_aCD226_5min,αCD3+αCD226 5min,ATR,28,0.34953571428571434,-0.9397444317953492,0.8941374999999999,0.5795211626567903
aCD3_aCD226_5min,αCD3+αCD226 5min,CDK9,19,-0.006157894736842012,-1.4983787298188875,1.0324976315789474,0.6931862456705682
aCD3_aCD226_5min,αCD3+αCD226 5min,PLK1,62,1.1621129032258066,0.6330909565198427,0.9289573387096774,0.36828130636679135
aCD3_aCD226_5min,αCD3+αCD226 5min,NEK6,18,1.1926666666666668,0.3747374906027104,0.9168941666666668,0.7359084877161884
aCD3_aCD226_5min,αCD3+αCD226 5min,CAMKK1,5,3.6516000000000006,2.077967240449687,0.894153,1.3269925272754874
aCD3_aCD226_5min,αCD3+αCD226 5min,MAP4K1,8,0.20724999999999993,-0.6441426822812144,0.9266137499999999,1.1167770274939586
aCD3_aCD226_5min,αCD3+αCD226 5min,SGK1,17,1.5284117647058824,0.8830370609704481,0.8758635294117647,0.738981707717878
aCD3_aCD226_5min,αCD3+αCD226 5min,DYRK2,7,-1.0854285714285716,-1.7692232242072417,0.9393071428571429,1.144420718981328
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKDC,15,0.48400000000000015,-0.570280258499124,0.9454443333333333,0.8091536160619911
aCD3_aCD226_5min,αCD3+αCD226 5min,LCK,20,1.7618499999999997,1.1937034826446848,1.0032032499999999,0.6355403674614368
aCD3_aCD226_5min,αCD3+αCD226 5min,GSK3A,18,0.004166666666666676,-1.6105395942367913,1.0809680555555554,0.6685966571341374
aCD3_aCD226_5min,αCD3+αCD226 5min,JAK1,5,-2.4808000000000003,-2.2589934567235654,0.7521479999999999,1.4311453582911455
aCD3_aCD226_5min,αCD3+αCD226 5min,MELK,10,2.8987000000000003,2.1861654410786393,0.8804089999999999,0.9232105503434311
aCD3_aCD226_5min,αCD3+αCD226 5min,BRSK1,6,2.130333333333333,0.934118790988615,0.9558866666666668,1.257277637487308
aCD3_aCD226_5min,αCD3+αCD226 5min,MAP3K7,13,2.347538461538462,1.5366903365611877,1.0137315384615386,0.8679737819278034
aCD3_aCD226_5min,αCD3+αCD226 5min,CDK7,17,0.6151764705882353,-0.40386061552577823,0.9137214705882353,0.7392278140598831
aCD3_aCD226_5min,αCD3+αCD226 5min,DAPK3,6,1.0501666666666665,0.05801549829389569,0.9819866666666667,1.1752032130209868
aCD3_aCD226_5min,αCD3+αCD226 5min,PIM2,5,1.6217999999999997,0.5719713687747775,0.868891,1.316340364401123
aCD3_aCD226_5min,αCD3+αCD226 5min,CDK4,16,1.055625,0.11455483091314918,0.9699146875,0.7482033871184545
aCD3_aCD226_5min,αCD3+αCD226 5min,CDK6,16,1.158625,0.23276902670025743,0.9810115625,0.763045839980752
aCD3_aCD226_5min,αCD3+αCD226 5min,MAP3K5,7,1.9688571428571429,0.7849351198849076,1.092434285714286,1.1165545214378532
aCD3_aCD226_5min,αCD3+αCD226 5min,STK11,12,-0.7245833333333334,-2.006283941411883,1.0458429166666667,0.8824405227278534
aCD3_aCD226_5min,αCD3+αCD226 5min,PLK4,5,1.5102,0.35037743549775363,1.0186430000000002,1.4029356636556332
aCD3_aCD226_5min,αCD3+αCD226 5min,ROCK2,7,-0.3832857142857141,-1.1878474456150974,0.9553878571428571,1.1269743234876195
aCD3_aCD226_5min,αCD3+αCD226 5min,CDC7,7,0.5322857142857143,-0.42430261112141654,1.0084378571428572,1.1221994170591831
aCD3_aCD226_5min,αCD3+αCD226 5min,ZAP70,15,1.487266666666667,0.7031583097954136,0.9689536666666666,0.7371213463306796
aCD3_aCD226_5min,αCD3+αCD226 5min,YES1,6,-1.5546666666666669,-2.179104402160315,0.9669999999999999,1.1572032364152645
aCD3_aCD226_5min,αCD3+αCD226 5min,FER,6,-0.040166666666666684,-0.6935246873156508,0.9110683333333333,1.3715950093742733
